;;;0.166666667;0.166666667;0.166666667;0.125;0.05;0.05;0.025;0.125;0.125
2016 EPI Score;Rank;Country;EH - Health Impacts;EH - Air Quality;EH -Water and Sanitation;EV - Water Resources;EV - Agriculture;EV - Forests;EV - Fisheries;EV- Biodiversity and Habitat;EV - Climate and Energy
64.96;111;Georgia;75.1;79.96;79.31;0;98.18;100;31.85;70.31;51.28
64.92;112;Seychelles;90.98;98.24;89.33;3.96;0;0;35.53;80.99;0
64.41;113;Kuwait;56.39;48.86;89.92;81.63;0;0;45.47;87.12;33.57
64.39;114;Mongolia;62.41;86.69;54.47;53.59;24.34;23.1;0;83.56;77.08
64.19;115;Nicaragua;59.49;89.05;68.55;0;71.94;10.52;36.16;93.72;90.16
63.97;116;Iraq;62;56.7;73.86;68.61;87.41;0;0;34.64;81.88
63.73;117;Senegal;48.27;75.78;57.02;34.29;95.03;0;60.58;93.36;0
63.67;118;Uzbekistan;79.63;74.81;81.04;0;50.22;0;0;56.18;93.54
63.29;119;Libya;66.31;84.38;74.39;68.06;70.16;0;47.13;24.72;54.75
63.28;120;Bosnia and Herzegovina;89.47;78.07;93.73;0;92.05;93.13;0;36.62;36.87
63.28;120;Grenada;91.59;91.88;85.91;11.37;59.79;0;48.06;48.53;0
62.55;122;Antigua and Barbuda;84.91;93.39;87;11.37;7.086;0;47.44;77.19;0
62.49;123;Kenya;44.7;79.31;51.78;52.78;96.31;34.6;46.25;84.09;67.06
60.63;124;Swaziland;49.38;82.99;53.71;55.15;100;1.758;0;52.93;76.66
60.48;125;Kiribati;66.68;90.39;63.83;27.06;0;0;32.93;87.32;0
60.13;126;Oman;64;84.25;78.09;61.48;0;0;57.64;48.68;23.83
59.89;127;Cote d'Ivoire;43.43;77.07;48.73;35.78;100;15.24;35.29;90.88;73.63
59.56;128;Congo;50.46;81.66;41.02;24.99;98.49;84.33;62.97;93.26;41.61
59.25;129;Zimbabwe;52.54;85.44;54.86;0;80.94;21.28;0;94.31;70.99
58.89;130;Ghana;44.07;71.72;47.63;43.34;100;27.29;47.92;80.79;68.6
58.5;131;Viet Nam;69.61;54.76;80.34;19.8;83.49;23.97;42.05;82.37;41.48
58.34;132;Tanzania;33.52;70.85;37.38;45.47;100;42.66;60.87;94.34;0
58.27;133;Nigeria;42.77;72.15;44.11;22.56;100;58.27;53.3;75.43;82.17
57.74;134;Vanuatu;50.99;82.75;66.15;27.06;0;98.75;42.5;50.35;0
57.56;135;Uganda;40.71;63.51;50.91;32.7;100;48.13;0;93.61;0
57.13;136;Cameroon;38.5;77.03;47.88;0;100;80.17;51.45;77.33;79.43
57.1;137;Maldives;83.37;97.1;81.82;4.65;0;0;71.79;35.92;0
55.79;138;Timor-Leste;53.04;78.79;60.3;0.3;100;0;45.22;71.39;0
55.4;139;Guinea;30.63;65.56;42.58;37.2;100;44.91;55.59;86.95;0
54.96;140;Barbados;76.41;93.99;90.08;11.37;16.84;0;58.16;26.5;0
53.58;141;India;51.51;28.07;64.39;48.41;51.96;74.8;34.74;63.42;67.19
52.09;142;The Gambia;39.99;64.66;59.41;31;96.94;0;57.01;43.63;0
51.98;143;Cape Verde;59.92;81.78;66.26;19.4;47.74;0;57.14;37.03;0
51.42;144;Pakistan;57.3;34.57;66.34;16.58;41.21;0;39.8;70.04;70.35
51.32;145;Angola;47.12;81.74;36.68;0;100;71.28;57.04;53.54;0
51.24;146;Cambodia;49.93;66.25;60.23;0;100;0;22.26;88.15;0
50.34;147;Rwanda;41.41;56.24;58;0;100;63.93;0;71.26;0
50.29;148;Laos;54.98;32.45;66.12;0;100;31.1;0;90.23;0
50.21;149;Nepal;47.7;29.84;60.94;0;92.73;94.7;0;76.59;0
49.79;150;Yemen;53.53;76.65;42.71;0;100;0;62.48;47.95;0
49.69;151;Malawi;22.21;70.74;49.63;0;100;40.32;0;93.35;0
49.2;152;Comoros;29.6;84.95;49.48;3.96;100;0;14.18;68.38;0
48.98;153;Myanmar;46.53;44.34;64.59;0;93.73;55.52;64.35;57.74;0
48.28;154;Sao Tome and Principe;52.03;86.72;62;17.99;80.5;0;67.13;1.474;0
48.2;155;Guinea-Bissau;27.38;65.18;35.45;0;91.02;35.93;84.89;87.3;0
48.02;156;Papua New Guinea;36.94;86.8;27.14;0;97.56;81.69;49.25;46.46;0
47.17;157;Lesotho;37.73;85.27;47.22;29.16;95.36;0;0;26.17;0
46.92;158;Solomon Islands;45.32;81.47;57.86;0;0;72.07;47.21;39.97;0
46.46;159;Central African Republic;17.32;65.81;28.76;0;80.94;87.36;0;90.87;0
46.31;160;Mauritania;36.12;74.01;40.17;0;93.06;0;89.31;42.92;0
46.1;161;Togo;31.63;65.84;31.4;0;100;47.61;57;71.34;0
45.98;162;Sierra Leone;24.94;66.94;31.26;0;100;26.49;93.01;75.46;0
45.83;163;Ethiopia;15.38;67.51;28;0;100;76.73;0;83.52;0
45.29;164;Djibouti;56.84;85.33;60.5;0;0;0;52.26;39.2;0
43.71;165;Burkina Faso;10.78;66.31;35.87;0;100;0;0;88.05;0
43.66;166;Benin;28.51;64.66;41.07;7.626;0;0;69.22;77.29;0
43.42;167;Liberia;32.59;67.23;40.82;0;81.38;33.23;78.75;49.67;0
43.37;168;Burundi;20.7;55.48;40.62;0;100;70.48;0;64.71;0
43.28;169;Haiti;35.28;76.05;38.69;0;97.25;64.35;49.82;24.41;0
42.25;170;Sudan;39.26;77.95;31.67;0;81.81;0;46.27;42.8;0
42.05;171;Dem. Rep. Congo;23.62;51.51;26.42;0;100;63.51;0;76.14;0
41.82;172;Mozambique;0;71.94;21.78;0;100;39.71;49.19;88.43;0
41.77;173;Bangladesh;42.1;21.86;57.11;0;59.08;67.25;51.04;63.77;0
41.48;174;Mali;13.23;64.05;37.81;0;100;0;0;73.03;0
37.83;175;Chad;7.934;67.41;10.03;0;100;0;0;80.62;0
37.5;176;Afghanistan;48.83;70.74;39.2;0;75.93;0;0;21.25;0
37.48;177;Niger;0;63.35;11.98;0;100;0;0;88.33;0
37.1;178;Madagascar;4.483;71.53;22.07;0;100;11.76;53.37;64.68;0
36.73;179;Eritrea;34.41;77.11;32.41;0;0;0;62.81;41.11;0
27.66;180;Somalia;26.19;68.69;26.07;3.96;0;0;35.48;20.91;0
