;;;0.333333333333333;0.333333333333333;0.333333333333333
HDI 2016 Score;Rank;Country;Health index;Education index;Income index
0.556;145;Myanmar;0.709507692307692;0.410188888888889;0.58920550089852
0.555;146;Kenya;0.648676923076923;0.518247726611111;0.507642748628832
0.550;147;Pakistan;0.713307692307692;0.394840611111111;0.591872346903506
0.541;148;Swaziland;0.445276923076923;0.545025230244444;0.652620091507656
0.536;149;Syrian Arab Republic;0.763876923076923;0.417456388888889;0.48259718375976
0.533;150;Angola;0.503046153846154;0.482384169955556;0.625625798168711
0.531;151;Tanzania (United Republic of);0.700184615384615;0.440546944444445;0.484216471134039
0.527;152;Nigeria;0.508569230769231;0.476957833333333;0.603754249778163
0.518;153;Cameroon;0.5532;0.492950885655556;0.508350969281595
0.516;154;Papua New Guinea;0.657984615384615;0.419259375;0.49851188257746
0.516;154;Zimbabwe;0.603076923076923;0.5443185;0.417651895433173
0.515;156;Solomon Islands;0.740107692307692;0.444630578577778;0.415074153744641
0.513;157;Mauritania;0.665215384615385;0.377305277777778;0.5382278299793
0.512;158;Madagascar;0.700230769230769;0.492257938611111;0.389722136541864
0.498;159;Rwanda;0.688446153846154;0.425647841566667;0.420398589498759
0.497;160;Comoros;0.670261538461538;0.469281234088889;0.3914639092426
0.497;160;Lesotho;0.462769230769231;0.502566111111111;0.529024432190754
0.494;162;Senegal;0.721984615384615;0.354986205822222;0.47032330322905
0.493;163;Haiti;0.663369230769231;0.425427825811111;0.424097957331095
0.493;163;Uganda;0.603215384615385;0.466588236122222;0.425300878341918
0.490;165;Sudan;0.6728;0.317546111111111;0.551310380428036
0.487;166;Togo;0.618076923076923;0.489009063277778;0.38298984258968
0.485;167;Benin;0.611692307692308;0.413833333333333;0.450947187699559
0.482;168;Yemen;0.677738461538462;0.349708333333333;0.47365225327166
0.479;169;Afghanistan;0.626215384615385;0.397604166666667;0.442437062360752
0.476;170;Malawi;0.675076923076923;0.445449444444444;0.358502769468707
0.474;171;Côte d'Ivoire;0.4906;0.415205541666667;0.521750041589992
0.473;172;Djibouti;0.650723076923077;0.310450833333333;0.524280936258609
0.452;173;Gambia;0.622507692307692;0.358066666666667;0.413123229044342
0.448;174;Ethiopia;0.686184615384615;0.3180126673;0.411360628715498
0.442;175;Mali;0.591907692307692;0.311834991711111;0.468175121909143
0.435;176;Congo (Democratic Republic of the);0.600876923076923;0.474738419866667;0.289480204637973
0.427;177;Liberia;0.633661538461539;0.423169333333333;0.290136493580041
0.424;178;Guinea-Bissau;0.545938461538461;0.352793519322222;0.39531318077627
0.420;179;Eritrea;0.679784615384616;0.267392255555556;0.40804096085069
0.420;179;Sierra Leone;0.4818;0.374090777777778;0.411976437483724
0.418;181;Mozambique;0.545815384615385;0.368549131277778;0.362000865685375
0.418;181;South Sudan;0.555907692307692;0.296960444444444;0.443376537408822
0.414;183;Guinea;0.603307692307692;0.330484660844444;0.356366637277837
0.404;184;Burundi;0.571046153846154;0.394724919811111;0.292026048557998
0.402;185;Burkina Faso;0.600107692307692;0.261740225533333;0.41279639650599
0.396;186;Chad;0.490723076923077;0.280229257933333;0.451831488040483
0.353;187;Niger;0.645169230769231;0.205895833333333;0.330123155364105
0.352;188;Central African Republic;0.483969230769231;0.338193888888889;0.267468603683798
